"Site Name","Province","AFIAT Wave","NGO","Supplier Name","Item Name","Item Code","Item Category","Item Unit","Donor Name","Batch","Expiry Date","Pack Size","Quantity","Unit Price","Currency","Total Price","Total Stock"
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Albendazole 400 mg per tablet, oral chewable tablet",P02CA03,Medicine ,Tablet,World Bank,1MG96,2024-06-30,100,90,3.25,USD,293,9000
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Amoxicillin 250 mg per tablet, oral ingestion tablet",[J01CA04,Medicine ,Tablet,UNICEF,MP21250,2024-03-31,1000,41,13.7,USD,563,41000
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Amoxicillin 250 mg per tablet, oral ingestion tablet",[J01CA04,Medicine ,Tablet,World Bank,MP21250,2024-03-31,1000,41,13.7,USD,563,41000
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Amoxicillin 500 mg per tablet, oral ingestion tablet",[J01CA04],Medicine ,Tablet,UNICEF,LD0071,2024-01-31,100,608,5.04,USD,3064,60800
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Ampicillin 500 mg per vial, injection powder",[J01CA01,Medicine ,Vial,UNICEF,L169400,2024-07-31,50,152,35.1,USD,5328,7600
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Ampicillin 500 mg per vial, injection powder",[J01CA01,Medicine ,Vial,World Bank,L169400,2024-07-31,50,152,35.1,USD,5328,7600
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Atracurium Besylate 10 mg per milliliter, solution for injection",M03AC04,Medicine ,Ampoule,World Bank,224017,2024-02-29,10,52,22.2,USD,1155,520
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Atropine sulfate 1 mg/ml, in 1 ml ampoule, injection",[A03BA01],Medicine ,Ampoule,UNICEF,1EB01010,2024-01-31,10,22,2.31,USD,50.8,220
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Atropine sulfate 1 mg/ml, in 1 ml ampoule, injection",[A03BA01],Medicine ,Ampoule,World Bank,1EB01010,2024-01-31,10,22,2.31,USD,50.8,220
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Azithromycin 250 mg per capsule, oral ingestion capsule",J01FA10],Medicine ,Tablet,UNICEF,1H92,2024-07-31,6,72,0.520,USD,37.4,432
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Ceftriaxone 1 g per vial, injection powder",J01DD04,Medicine ,Vial,UNICEF,18U1062,2024-03-31,10,233,7.30,USD,1701,2330
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Ceftriaxone 1 g per vial, injection powder",J01DD04,Medicine ,Vial,World Bank,18U1062,2024-03-31,10,233,7.30,USD,1701,2330
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Chlorhexidine conc sol 5%/Bot - 100ml,[D08AC02,Medicine ,Bottle,World Bank,S200548,2023-11-30,1,65,3.24,USD,211,65
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Chlorhexidine gluconate 5% solution 1L, 1 btl",[D08AC02],Medicine ,Bottle,UNICEF,S2000548,2023-11-30,1,65,3.24,USD,211,65
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Chlorpromazine 25 mg/ml, in 2 ml ampoule, injection solution",177,Medicine ,Ampoule,UNICEF,1eb01383,2023-09-30,1,75,2.02,USD,152,75
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Chlorpromazine 25 mg/ml, in 2 ml ampoule, injection solution",177,Medicine ,Ampoule,World Bank,1EB01383,2023-09-26,10,75,2.02,USD,152,750
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Clarithromycin 125 mg per 5 milliliters, oral ingestion suspension",414,Medicine ,Bottle,UNICEF,LR5224,2023-09-30,1,1115,4.91,USD,5475,1115
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Cloxacillin 250 mg per capsule, oral ingestion capsule",181,Medicine ,Capsule,UNICEF,203131481,2023-10-31,500,11,9.18,USD,101,5500
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Cloxacillin 250 mg per capsule, oral ingestion capsule",181,Medicine ,Capsule,World Bank,203131481,2023-10-16,500,11,9.18,USD,101,5500
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Coverall, protection, Catlll type 6b L",428,Medical Supply,Each,UNICEF,20200715,2023-07-31,1,220,7.66,USD,1685,220
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Ferrous sulfate 125 mg/5 ml, in 120 ml, oral ingestion liquid",192,Medicine ,Bottle,UNICEF,5150677,2024-06-30,1,355,0.440,USD,156,355
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Ferrous sulfate 125 mg/5 ml, in 120 ml, oral ingestion liquid",192,Medicine ,Bottle,World Bank,5150877,2024-06-30,1,335,0.470,USD,157,335
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,First aid kit class A,194,Medical Supply,Kit,UNICEF,100024211,2024-05-31,1,58,30.9,USD,1794,58
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Fluoxetine 20 mg per capsule, oral ingestion capsule",195,Medicine ,Tablet,UNICEF,UFL245,2023-07-31,100,37,1.18,USD,43.7,3700
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Fluoxetine 20 mg per capsule, oral ingestion capsule",195,Medicine ,Tablet,World Bank,UFL244,2023-07-31,100,110,1.17,USD,129,11000
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Fluoxetine 20 mg per capsule, oral ingestion capsule",195,Medicine ,Tablet,World Bank,UFL245,2023-07-31,100,37,1.18,USD,43.7,3700
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Furosemide 10 mg/ml, in 2 ml ampoule, injection solution",53-2,Medicine ,Ampoule,World Bank,21G28,2024-07-31,10,620,1.94,USD,1203,6200
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Gentamicin 10 mg/ml, in 2 ml ampoule, injection solution",197,Medicine ,Ampoule,UNICEF,1EB02119,2024-03-31,50,181,3.44,USD,623,9050
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Gentamicin 10 mg/ml, in 2 ml ampoule, injection solution",197,Medicine ,Ampoule,World Bank,1EB02119,2024-03-31,50,181,3.44,USD,623,9050
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Gloves exam latex Medium,201,Medical Supply,Box,UNICEF,PIA02507,2024-02-29,100,18,11.3,USD,204,1800
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Glucose hypertonic 50% 50ml inj,401,Medicine ,Vial,UNICEF,128010,2024-07-31,25,7,57,USD,399,175
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Goggles, protective, indirect-side-venti",433,Medical Supply,Each,UNICEF,20200428,2023-04-30,1,5,2.80,USD,14,5
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Gown, isolation, nonwoven disp. L",429,Medical Supply,Each,UNICEF,20200730,2023-07-31,1,230,3.35,USD,771,230
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Gown, isolation, nonwoven disp. XL",430,Medical Supply,Each,UNICEF,20200730,2023-07-31,1,9,3.44,USD,31.0,9
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,"Haloperidol 5 mg/ml, in 1 ml, injection solution",214,Medicine ,Ampoule,World Bank,207714,2024-01-31,10,150,4.51,USD,677,1500
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Levonorgestrel 0.75mg 2 tab blister (E-Contarceptive),68,Medicine ,Tablet,UNICEF,T92595E,2024-02-29,2,274,0.290,USD,79.5,548
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Levonorgestrel 0.75mg 2 tab blister (E-Contarceptive),68,Medicine ,Tablet,World Bank,T92595E,2024-02-29,2,274,0.290,USD,79.5,548
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Lidocaine hcl (Lignocaine) 1% inj  vial,224,Medicine ,Vial,UNICEF,20487010,2023-10-31,20,6,14.8,USD,89.0,120
