Site Name,Province,AFIAT Wave,NGO,Supplier Name,Item Name,Item Category,Item Unit,Donor Name,Batch,Expiry Date,Pack Size,Quantity,Unit Price,Currency,Total Price,Total Stock
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Albendazole 400 mg per tablet- oral chewable tablet,Medicine ,Tablet,World Bank,1MG96,6/30/2024,100,90,3.25,USD,293,9000
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Amoxicillin 250 mg per tablet- oral ingestion tablet,Medicine ,Tablet,UNICEF,MP21250,3/31/2024,1000,41,13.7,USD,563,41000
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Amoxicillin 250 mg per tablet- oral ingestion tablet,Medicine ,Tablet,World Bank,MP21250,3/31/2024,1000,41,13.7,USD,563,41000
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Amoxicillin 500 mg per tablet- oral ingestion tablet,Medicine ,Tablet,UNICEF,LD0071,1/31/2024,100,608,5.04,USD,3064,60800
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Ampicillin 500 mg per vial- injection powder,Medicine ,Vial,UNICEF,L169400,7/31/2024,50,152,35.1,USD,5328,7600
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Ampicillin 500 mg per vial- injection powder,Medicine ,Vial,World Bank,L169400,7/31/2024,50,152,35.1,USD,5328,7600
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Atracurium Besylate 10 mg per milliliter- solution for injection,Medicine ,Ampoule,World Bank,224017,2/29/2024,10,52,22.2,USD,1155,520
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Atropine sulfate 1 mg/ml- in 1 ml ampoule- injection,Medicine ,Ampoule,UNICEF,1EB01010,1/31/2024,10,22,2.31,USD,50.8,220
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Atropine sulfate 1 mg/ml- in 1 ml ampoule- injection,Medicine ,Ampoule,World Bank,1EB01010,1/31/2024,10,22,2.31,USD,50.8,220
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Azithromycin 250 mg per capsule- oral ingestion capsule,Medicine ,Tablet,UNICEF,1H92,7/31/2024,6,72,0.52,USD,37.4,432
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Ceftriaxone 1 g per vial- injection powder,Medicine ,Vial,UNICEF,18U1062,3/31/2024,10,233,7.3,USD,1701,2330
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Ceftriaxone 1 g per vial- injection powder,Medicine ,Vial,World Bank,18U1062,3/31/2024,10,233,7.3,USD,1701,2330
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Chlorhexidine conc sol 5%/Bot - 100ml,Medicine ,Bottle,World Bank,S200548,11/30/2023,1,65,3.24,USD,211,65
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Chlorhexidine gluconate 5% solution 1L- 1 btl,Medicine ,Bottle,UNICEF,S2000548,11/30/2023,1,65,3.24,USD,211,65
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Chlorpromazine 25 mg/ml- in 2 ml ampoule- injection solution,Medicine ,Ampoule,UNICEF,1eb01383,9/30/2023,1,75,2.02,USD,152,75
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Chlorpromazine 25 mg/ml- in 2 ml ampoule- injection solution,Medicine ,Ampoule,World Bank,1EB01383,9/26/2023,10,75,2.02,USD,152,750
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Clarithromycin 125 mg per 5 milliliters- oral ingestion suspension,Medicine ,Bottle,UNICEF,LR5224,9/30/2023,1,1115,4.91,USD,5475,1115
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Cloxacillin 250 mg per capsule- oral ingestion capsule,Medicine ,Capsule,UNICEF,203131481,10/31/2023,500,11,9.18,USD,101,5500
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Cloxacillin 250 mg per capsule- oral ingestion capsule,Medicine ,Capsule,World Bank,203131481,10/16/2023,500,11,9.18,USD,101,5500
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Coverall- protection- Catlll type 6b L,Medical Supply,Each,UNICEF,20200715,7/31/2023,1,220,7.66,USD,1685,220
Bamiyan PW,Bamyan,W1,AKHS,UNICEF,Ferrous sulfate 125 mg/5 ml- in 120 ml- oral ingestion liquid,Medicine ,Bottle,UNICEF,5150677,6/30/2024,1,355,0.44,USD,156,355
